Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Black Panther: Wakanda Forever,PG13,11/10/2022,"['Action,', 'Adventure,', 'Science Fiction']",English,"$250,000,000.00","$835,000,000.00",162.0
Puss in Boots: The Last Wish,PG,12/08/2022,"['Animation,', 'Adventure,', 'Comedy,', 'Family,', 'Fantasy']",English,"$90,000,000.00","$369,105,725.00",103.0
Shotgun Wedding,R,12/28/2022,"['Action,', 'Romance,', 'Comedy']",English,-,"$4,495,365.00",101.0
M3GAN,PG13,01/05/2023,"['Science Fiction,', 'Horror,', 'Comedy']",English,"$12,000,000.00","$158,000,000.00",102.0
Transfusion,MA15+,01/05/2023,"['Crime,', 'Thriller,', 'Drama']",English,-,-,105.0
Detective Knight: Independence,R,01/20/2023,"['Action,', 'Thriller,', 'Crime']",English,-,-,92.0
JUNG_E,PG13,01/20/2023,"['Science Fiction,', 'Action,', 'Adventure']",Released,Language,-,98.0
Avatar: The Way of Water,PG13,12/15/2022,"['Science Fiction,', 'Adventure,', 'Action']",English,"$460,000,000.00","$2,176,000,000.00",192.0
Devotion,PG13,01/20/2023,"['War,', 'History,', 'Drama']",English,"$90,000,000.00","$20,000,000.00",139.0
The Price We Pay,R,01/13/2023,"['Action,', 'Thriller,', 'Mystery,', 'Crime,', 'Horror']",English,-,-,85.0
Kids vs. Aliens,NR,01/20/2023,"['Science Fiction,', 'Horror,', 'Adventure,', 'Action']",English,-,-,75.0
Wolf Hound,R,06/03/2022,"['War,', 'Action']",English,-,-,127.0
Glass Onion: A Knives Out Mystery,NC16,12/23/2022,"['Comedy,', 'Crime,', 'Mystery']",English,"$40,000,000.00","$13,280,000.00",140.0
Black Adam,PG13,10/20/2022,"['Fantasy,', 'Action,', 'Science Fiction']",English,"$200,000,000.00","$389,000,000.00",125.0
The Enforcer,R,09/23/2022,"['Action,', 'Thriller,', 'Drama']",Spanish;,Budget,-,91.0
Teen Wolf: The Movie,R,01/18/2023,"['Action,', 'Fantasy,', 'TV Movie']",English,-,-,140.0
The Offering,R,01/13/2023,['Horror'],English,-,-,93.0
Violent Night,M18,12/01/2022,"['Action,', 'Comedy,', 'Crime,', 'Thriller']",English,"$20,000,000.00","$73,000,000.00",112.0
Babylon,R21,01/19/2023,"['Drama,', 'Comedy']",English,"$78,000,000.00","$42,110,960.00",189.0
Women in Fury,18,06/20/1985,"['Action,', 'Drama']",fuga,Released,-,90.0
Prey for the Devil,NC16,10/27/2022,"['Horror,', 'Thriller']",English,-,"$37,655,699.00",93.0
Plane,NC16,01/19/2023,"['Action,', 'Adventure,', 'Thriller']",English,"$25,000,000.00","$29,000,000.00",107.0
Dolphin Boy,6+,04/07/2022,"['Animation,', 'Adventure,', 'Fantasy,', 'Comedy']",Released,Language,-,90.0
Avatar,PG-13,12/18/2009,"['Action,', 'Adventure,', 'Fantasy,', 'Science Fiction']",English,"$237,000,000.00","$2,920,357,254.00",162.0
Troll,PG13,12/01/2022,"['Fantasy,', 'Action,', 'Adventure,', 'Thriller']",Norwegian,-,-,104.0
Candy Land,,01/06/2023,"['Horror,', 'Thriller']",English,-,-,93.0
Japanese Woman is Cheap in the Next Room,19+,07/09/2020,"['Drama,', 'Romance']",싼다,Released,-,61.0
There's Something Wrong with the Children,NR,01/17/2023,"['Horror,', 'Mystery,', 'Thriller']",English,-,-,92.0
Berlin Drifters,18,09/10/2017,['Drama'],Released,Language,-,123.0
Savage Salvation,R,12/02/2022,"['Action,', 'Mystery,', 'Thriller,', 'Crime']",English,"$85,645.00",-,101.0
High Heat,R,12/16/2022,"['Action,', 'Comedy,', 'Crime']",English,-,-,84.0
The Woman King,PG13,04/20/2023,"['Action,', 'Drama,', 'History']",English,"$50,000,000.00","$91,000,000.00",135.0
Roald Dahl's Matilda the Musical,PG,12/25/2022,"['Family,', 'Comedy,', 'Fantasy']",English,"$25,000,000.00","$13,276,499.00",117.0
The Last Client,15,06/20/2022,"['Thriller,', 'Crime']",Released,Language,-,95.0
Guillermo del Toro's Pinocchio,PG,12/09/2022,"['Animation,', 'Fantasy,', 'Drama']",English,"$35,000,000.00",-,117.0
Encanto at the Hollywood Bowl,PG,12/28/2022,['Music'],English,-,-,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,12/22/2005,"['Adventure,', 'Family,', 'Fantasy']",English,"$180,000,000.00","$745,013,115.00",143.0
The Big 4,M18,12/15/2022,"['Action,', 'Comedy,', 'Crime']",Indonesian,-,-,141.0
Winnie the Pooh: Blood and Honey,C,02/15/2023,"['Horror,', 'Thriller']",English,-,"$1,000,000.00",84.0
A Frozen Rooster,,12/14/2022,"['Animation,', 'Adventure,', 'Comedy,', 'Family']",Status,Original,-,91.0
Fall,PG13,08/11/2022,['Thriller'],English,"$3,000,000.00","$16,120,263.00",107.0
The Independent,,11/02/2022,"['Thriller,', 'Drama']",English,-,-,108.0
Evil Eye,18+,09/22/2022,['Horror'],ojo,Released,-,100.0
Strange World,NC16,11/24/2022,"['Animation,', 'Science Fiction,', 'Adventure,', 'Family']",English,"$180,000,000.00","$60,624,918.00",102.0
Terrifier 2,NR,10/17/2022,['Horror'],English,"$250,000.00","$12,400,000.00",138.0
My Name Is Vendetta,M18,11/30/2022,"['Action,', 'Crime,', 'Thriller']",nome,vendetta,-,90.0
Knock at the Cabin,R21,02/16/2023,"['Horror,', 'Mystery,', 'Thriller']",English,"$20,000,000.00","$21,000,000.00",100.0
You People,M18,01/27/2023,"['Romance,', 'Comedy']",English,-,-,117.0
Sniper: The White Raven,12+,08/24/2022,"['War,', 'Action,', 'Drama']",ворон,Released,-,
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,PG12,10/16/2020,"['Animation,', 'Action,', 'Adventure,', 'Fantasy,', 'Thriller']",Released,Language,"$503,063,688.00",117.0
R.I.P.D. 2: Rise of the Damned,PG-13,11/15/2022,"['Fantasy,', 'Action,', 'Comedy,', 'Crime']",English,-,-,102.0
The Boss Baby: Christmas Bonus,PG,12/06/2022,"['Animation,', 'Family,', 'Adventure']",English,-,-,
Secret Headquarters,PG,08/12/2022,"['Science Fiction,', 'Family,', 'Action,', 'Adventure']",English,-,-,104.0
Hex,R,11/01/2022,"['Action,', 'Horror,', 'Thriller']",English,-,-,88.0
Lupin The 3rd vs. Catâ€™s Eye,NC16,01/27/2023,"['Animation,', 'Action,', 'Adventure,', 'Comedy']",Released,Language,-,92.0
Medieval,R,09/09/2022,"['History,', 'Action,', 'Drama']",English,"$23,000,000.00","$4,311,284.00",126.0
Detective Knight: Rogue,R,10/21/2022,"['Action,', 'Crime']",English,-,-,105.0
Inspector Sun and the Curse of the Black Widow,N-7,12/28/2022,"['Animation,', 'Family']",y,maldición,-,90.0
Top Gun: Maverick,PG13,05/26/2022,"['Action,', 'Drama']",English,"$170,000,000.00","$1,488,732,821.00",131.0
Jurassic World Dominion,PG13,06/08/2022,"['Adventure,', 'Action,', 'Science Fiction']",English,"$165,000,000.00","$1,001,000,000.00",147.0
Spider-Man: No Way Home,PG,12/16/2021,"['Action,', 'Adventure,', 'Science Fiction']",English,"$200,000,000.00","$1,916,306,995.00",148.0
Thor: Love and Thunder,PG13,07/07/2022,"['Fantasy,', 'Action,', 'Comedy']",English,"$250,000,000.00","$760,928,081.00",119.0
Jeepers Creepers: Reborn,NC16,09/22/2022,"['Horror,', 'Thriller,', 'Mystery']",English,"$5,000,000.00","$5,954,938.00",88.0
Project Gemini,12+,01/06/2022,"['Science Fiction,', 'Horror']",Status,Original,-,99.0
Smile,M18,09/29/2022,"['Horror,', 'Mystery,', 'Thriller']",English,"$17,000,000.00","$216,000,000.00",115.0
Dragon Ball Super: Super Hero,PG-13,09/01/2022,"['Animation,', 'Science Fiction,', 'Action']",Status,Original,"$86,562,140.00",99.0
The Pale Blue Eye,M18,01/06/2023,"['Mystery,', 'Crime,', 'Horror']",English,"$72,000,000.00",-,130.0
Jujutsu Kaisen 0,PG13,03/10/2022,"['Animation,', 'Action,', 'Fantasy']",0,Released,"$195,870,885.00",105.0
"Lyle, Lyle, Crocodile",PG,12/01/2022,"['Comedy,', 'Family,', 'Music']",English,"$50,000,000.00","$79,761,937.00",106.0
All Quiet on the Western Front,M18,10/28/2022,"['Action,', 'Drama,', 'War']",nichts,Status,-,147.0
King Shakir Recycle,12,07/14/2022,"['Animation,', 'Adventure,', 'Family,', 'Action,', 'Comedy,', 'Science Fiction']",Geri,Status,-,92.0
Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,,02/03/2023,"['Action,', 'Animation,', 'Fantasy']",Released,Language,-,116.0
Night at the Museum: Kahmunrah Rises Again,PG,12/09/2022,"['Animation,', 'Comedy,', 'Family,', 'Fantasy']",English,-,-,77.0
Abandoned,PG-13,06/17/2022,"['Horror,', 'Mystery,', 'Thriller']",English,-,-,102.0
Sonic the Hedgehog 2,PG,03/31/2022,"['Action,', 'Adventure,', 'Family,', 'Comedy']",English,"$110,000,000.00","$401,800,000.00",122.0
Prey,M18,08/05/2022,"['Thriller,', 'Action,', 'Science Fiction']",English,"$65,000,000.00",-,100.0
Ant-Man and the Wasp: Quantumania,PG,02/16/2023,"['Adventure,', 'Science Fiction,', 'Comedy']",English,-,-,125.0
Bullet Train,M18,08/04/2022,"['Action,', 'Comedy,', 'Thriller']",English,"$90,000,000.00","$239,260,044.00",126.0
Tinker Bell and the Legend of the NeverBeast,G,03/03/2015,"['Adventure,', 'Animation,', 'Family']",English,-,-,77.0
Harry Potter and the Philosopher's Stone,PG,11/22/2001,"['Adventure,', 'Fantasy']",English,"$125,000,000.00","$976,475,550.00",152.0
Paradise City,R,11/11/2022,"['Action,', 'Crime,', 'Thriller']",English,"$20,000,000.00",-,93.0
Doctor Strange in the Multiverse of Madness,PG13,05/04/2022,"['Fantasy,', 'Action,', 'Adventure']",English,"$200,000,001.00","$964,091,059.00",126.0
Girl at the Window,MA15+,08/18/2022,"['Thriller,', 'Horror']",English,-,-,84.0
Infelices para Siempre,,01/26/2023,"['Comedy,', 'Romance']",Spanish;,Budget,-,90.0
The Key Game,16,04/13/2022,['Comedy'],de,llaves,-,107.0
